Samples (i),TTF of A1,TTF of A2
11,71,70
13,71,70
12,71,70
30,94,92
7,58,59
4,40,40
35,100,100
32,100,99
3,38,39
8,60,60
27,90,90
14,72,73
31,98,99
26,89,88
21,80,83
