Samples (i),TTF of A1,TTF of A2
24,84,85
2,36,35
28,90,90
25,88,90
7,58,59
4,40,40
14,72,73
16,76,78
40,114,110
27,90,90
32,100,99
6,58,59
15,73,74
10,66,62
5,42,41
