Samples (i),TTF of A1,TTF of A2
29,92,91
10,66,62
7,58,59
11,71,70
13,71,70
24,84,85
33,100,99
17,77,78
3,38,39
15,73,74
4,40,40
1,30,35
23,83,85
22,83,83
34,100,100
