Samples (i),TTF of A1,TTF of A2
20,79,81
9,65,61
28,90,90
7,58,59
8,60,60
19,78,80
37,108,107
32,100,99
15,73,74
3,38,39
34,100,100
6,58,59
18,78,79
2,36,35
16,76,78
