Samples (i),TTF of A1,TTF of A2
27,90,90
22,83,83
33,100,99
31,98,99
5,42,41
39,112,110
38,108,108
2,36,35
30,94,92
40,114,110
12,71,70
35,100,100
20,79,81
37,108,107
7,58,59
