Samples (i),TTF of A1,TTF of A2
38,108,108
34,100,100
4,40,40
1,30,35
28,90,90
10,66,62
35,100,100
27,90,90
26,89,88
15,73,74
25,88,90
16,76,78
2,36,35
8,60,60
18,78,79
