Samples (i),TTF of A1,TTF of A2
3,38,39
8,60,60
18,78,79
31,98,99
39,112,110
33,100,99
40,114,110
37,108,107
5,42,41
32,100,99
1,30,35
19,78,80
27,90,90
12,71,70
2,36,35
