Samples (i),TTF of A1,TTF of A2
23,83,85
20,79,81
34,100,100
8,60,60
4,40,40
5,42,41
38,108,108
30,94,92
22,83,83
11,71,70
10,66,62
14,72,73
40,114,110
21,80,83
6,58,59
