Samples (i),TTF of A1,TTF of A2
17,77,78
16,76,78
4,40,40
33,100,99
8,60,60
32,100,99
40,114,110
9,65,61
38,108,108
18,78,79
31,98,99
15,73,74
7,58,59
5,42,41
14,72,73
