Samples (i),TTF of A1,TTF of A2
4,40,40
12,71,70
13,71,70
33,100,99
26,89,88
16,76,78
19,78,80
28,90,90
35,100,100
40,114,110
6,58,59
24,84,85
11,71,70
20,79,81
8,60,60
