Samples (i),TTF of A1,TTF of A2
38,108,108
10,66,62
14,72,73
23,83,85
21,80,83
40,114,110
17,77,78
28,90,90
20,79,81
4,40,40
30,94,92
5,42,41
32,100,99
18,78,79
8,60,60
12,71,70
7,58,59
13,71,70
35,100,100
37,108,107
22,83,83
9,65,61
19,78,80
11,71,70
34,100,100
36,106,103
3,38,39
31,98,99
25,88,90
16,76,78
