Samples (i),TTF of A1,TTF of A2
7,58,59
27,90,90
21,80,83
29,92,91
11,71,70
36,106,103
12,71,70
22,83,83
24,84,85
14,72,73
1,30,35
2,36,35
15,73,74
23,83,85
33,100,99
25,88,90
17,77,78
40,114,110
38,108,108
10,66,62
34,100,100
4,40,40
20,79,81
6,58,59
35,100,100
9,65,61
26,89,88
30,94,92
5,42,41
37,108,107
