Samples (i),TTF of A1,TTF of A2
23,83,85
37,108,107
39,112,110
17,77,78
22,83,83
21,80,83
9,65,61
31,98,99
10,66,62
14,72,73
35,100,100
13,71,70
8,60,60
6,58,59
26,89,88
20,79,81
24,84,85
3,38,39
11,71,70
33,100,99
2,36,35
29,92,91
27,90,90
18,78,79
40,114,110
25,88,90
12,71,70
32,100,99
38,108,108
5,42,41
