Samples (i),TTF of A1,TTF of A2
3,38,39
16,76,78
13,71,70
21,80,83
10,66,62
17,77,78
4,40,40
7,58,59
23,83,85
1,30,35
31,98,99
6,58,59
25,88,90
12,71,70
18,78,79
33,100,99
20,79,81
30,94,92
2,36,35
37,108,107
39,112,110
34,100,100
38,108,108
8,60,60
11,71,70
40,114,110
26,89,88
24,84,85
9,65,61
29,92,91
