Samples (i),TTF of A1,TTF of A2
3,38,39
5,42,41
13,71,70
16,76,78
17,77,78
31,98,99
6,58,59
26,89,88
2,36,35
7,58,59
25,88,90
33,100,99
37,108,107
9,65,61
23,83,85
34,100,100
40,114,110
32,100,99
35,100,100
29,92,91
39,112,110
10,66,62
1,30,35
18,78,79
30,94,92
11,71,70
20,79,81
14,72,73
12,71,70
15,73,74
