Samples (i),TTF of A1,TTF of A2
3,38,39
19,78,80
1,30,35
37,108,107
16,76,78
12,71,70
40,114,110
10,66,62
38,108,108
33,100,99
17,77,78
9,65,61
21,80,83
15,73,74
35,100,100
2,36,35
31,98,99
30,94,92
25,88,90
6,58,59
29,92,91
24,84,85
4,40,40
7,58,59
36,106,103
5,42,41
28,90,90
18,78,79
34,100,100
20,79,81
