Samples (i),TTF of A1,TTF of A2
28,90,90
20,79,81
29,92,91
4,40,40
3,38,39
31,98,99
33,100,99
24,84,85
2,36,35
8,60,60
37,108,107
12,71,70
19,78,80
38,108,108
30,94,92
25,88,90
5,42,41
34,100,100
27,90,90
14,72,73
21,80,83
36,106,103
13,71,70
11,71,70
7,58,59
40,114,110
35,100,100
22,83,83
6,58,59
23,83,85
