Samples (i),TTF of A1,TTF of A2
40,114,110
25,88,90
14,72,73
5,42,41
39,112,110
6,58,59
29,92,91
38,108,108
37,108,107
4,40,40
17,77,78
28,90,90
27,90,90
3,38,39
20,79,81
30,94,92
15,73,74
12,71,70
9,65,61
35,100,100
11,71,70
13,71,70
22,83,83
7,58,59
31,98,99
19,78,80
16,76,78
1,30,35
26,89,88
18,78,79
