Samples (i),TTF of A1,TTF of A2
15,73,74
34,100,100
26,89,88
29,92,91
8,60,60
25,88,90
31,98,99
12,71,70
24,84,85
19,78,80
18,78,79
33,100,99
20,79,81
3,38,39
22,83,83
23,83,85
11,71,70
37,108,107
13,71,70
35,100,100
