Samples (i),TTF of A1,TTF of A2
25,88,90
19,78,80
1,30,35
33,100,99
28,90,90
2,36,35
12,71,70
18,78,79
31,98,99
16,76,78
24,84,85
17,77,78
14,72,73
35,100,100
32,100,99
11,71,70
13,71,70
9,65,61
3,38,39
26,89,88
