Samples (i),TTF of A1,TTF of A2
12,71,70
13,71,70
1,30,35
24,84,85
15,73,74
40,114,110
21,80,83
16,76,78
18,78,79
37,108,107
22,83,83
25,88,90
7,58,59
17,77,78
3,38,39
38,108,108
33,100,99
10,66,62
23,83,85
30,94,92
