Samples (i),TTF of A1,TTF of A2
39,112,110
19,78,80
35,100,100
4,40,40
26,89,88
16,76,78
40,114,110
12,71,70
6,58,59
15,73,74
2,36,35
29,92,91
9,65,61
1,30,35
7,58,59
3,38,39
37,108,107
20,79,81
24,84,85
14,72,73
