Samples (i),TTF of A1,TTF of A2
19,78,80
15,73,74
33,100,99
16,76,78
8,60,60
13,71,70
38,108,108
14,72,73
11,71,70
25,88,90
34,100,100
1,30,35
5,42,41
35,100,100
18,78,79
40,114,110
27,90,90
23,83,85
20,79,81
2,36,35
