Samples (i),TTF of A1,TTF of A2
19,78,80
6,58,59
26,89,88
18,78,79
33,100,99
40,114,110
16,76,78
38,108,108
23,83,85
34,100,100
1,30,35
3,38,39
5,42,41
37,108,107
2,36,35
30,94,92
10,66,62
22,83,83
39,112,110
32,100,99
